time,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation
2015-01-21,7.0,0.0,16.0,4.3,-0.5,-5.2,0.2
2015-01-22,2.0,0.5,24.0,8.5,2.2,0.0,0.0
2015-01-23,2.0,5.2,56.0,7.4,2.1,-4.4,2.8
2015-01-24,1.0,6.7,64.0,9.2,0.8,-5.9,0.2
2015-01-25,5.0,0.0,17.0,9.9,3.9,-1.4,0.0
2015-01-26,5.0,0.0,17.0,9.8,5.9,1.9,0.2
2015-01-27,5.0,3.6,49.0,10.7,6.1,2.3,0.0
2015-01-28,5.0,0.0,18.0,7.4,7.7,4.7,1.0
2015-01-29,2.0,0.0,18.0,6.7,4.4,1.4,1.6
2015-01-30,4.0,0.0,19.0,5.2,3.9,1.1,2.0
2015-01-31,5.0,0.0,19.0,5.6,2.3,-0.7,1.4
2015-02-01,5.0,0.0,19.0,2.6,3.2,0.8,0.0
2015-02-02,1.0,0.0,20.0,4.4,-0.2,-3.0,0.0
2015-02-03,5.0,0.5,28.0,4.5,1.8,-0.8,0.0
2015-02-04,5.0,1.5,39.0,5.1,1.3,-1.9,0.2
2015-02-05,5.0,0.0,21.0,5.4,3.2,1.3,0.0
2015-02-06,2.0,5.2,68.0,5.4,2.6,-0.3,0.2
2015-02-07,5.0,0.0,21.0,8.9,2.7,-0.1,0.0
2015-02-08,2.0,6.2,76.0,9.9,5.2,1.5,0.0
2015-02-09,4.0,4.5,66.0,6.9,5.0,0.1,0.0
2015-02-10,8.0,0.0,23.0,5.4,5.4,3.9,0.0
2015-02-11,8.0,0.0,23.0,7.6,4.9,4.3,0.0
2015-02-12,7.0,0.0,24.0,9.2,5.7,3.8,0.2
2015-02-13,7.0,0.0,24.0,8.7,5.3,1.3,7.0
2015-02-14,7.0,0.3,31.0,9.5,6.3,3.9,0.2
2015-02-15,4.0,2.1,52.0,8.6,7.3,5.0,0.2
2015-02-16,6.0,0.0,25.0,9.2,4.2,-0.2,5.6
2015-02-17,1.0,9.0,106.0,10.7,5.7,2.1,0.0
2015-02-18,2.0,8.7,106.0,8.7,5.4,0.0,0.0
2015-02-19,6.0,0.8,41.0,7.2,6.4,4.0,6.4
2015-02-20,5.0,0.5,38.0,7.8,5.8,4.4,1.8
